Power
t(s)	P(W)

 4.8828125e-012	0
 1.46484375e-011	0
 2.44140625e-011	0
 3.41796875e-011	0
 4.39453125e-011	0
 5.37109375e-011	0
 6.34765625e-011	0
 7.32421875e-011	0
 8.30078125e-011	0
 9.27734375e-011	0
 1.025390625e-010	0
 1.123046875e-010	0
 1.220703125e-010	0
 1.318359375e-010	0
 1.416015625e-010	0
 1.513671875e-010	0
 1.611328125e-010	0
 1.708984375e-010	0
 1.806640625e-010	0
 1.904296875e-010	0
 2.001953125e-010	0
 2.099609375e-010	0
 2.197265625e-010	0
 2.294921875e-010	0
 2.392578125e-010	0
 2.490234375e-010	0
 2.587890625e-010	0
 2.685546875e-010	0
 2.783203125e-010	0
 2.880859375e-010	0
 2.978515625e-010	0
 3.076171875e-010	0
 3.173828125e-010	0
 3.271484375e-010	0
 3.369140625e-010	0
 3.466796875e-010	0
 3.564453125e-010	0
 3.662109375e-010	0
 3.759765625e-010	0
 3.857421875e-010	0
 3.955078125e-010	0
 4.052734375e-010	0
 4.150390625e-010	0
 4.248046875e-010	0
 4.345703125e-010	0
 4.443359375e-010	0
 4.541015625e-010	0
 4.638671875e-010	0
 4.736328125e-010	0
 4.833984375e-010	0
 4.931640625e-010	0
 5.029296875e-010	0
 5.126953125e-010	0
 5.224609375e-010	0
 5.322265625e-010	0
 5.419921875e-010	0
 5.517578125e-010	0
 5.615234375e-010	0
 5.712890625e-010	0
 5.810546875e-010	0
 5.908203125e-010	0
 6.005859375e-010	0
 6.103515625e-010	0
 6.201171875e-010	0
 6.298828125e-010	0
 6.396484375e-010	0
 6.494140625e-010	0
 6.591796875e-010	0
 6.689453125e-010	0
 6.787109375e-010	0
 6.884765625e-010	0
 6.982421875e-010	0
 7.080078125e-010	0
 7.177734375e-010	0
 7.275390625e-010	0
 7.373046875e-010	0
 7.470703125e-010	0
 7.568359375e-010	0
 7.666015625e-010	0
 7.763671875e-010	0
 7.861328125e-010	0
 7.958984375e-010	0
 8.056640625e-010	0
 8.154296875e-010	0
 8.251953125e-010	0
 8.349609375e-010	0
 8.447265625e-010	0
 8.544921875e-010	0
